2026-05-02 18:18:52 | INFO     | ai_engine          | Gemini 'gemini-1.5-flash' initialised (conversation + intent).
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'launch_firefox' → plugin 'browser'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'launch_chrome' → plugin 'browser'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'open_url' → plugin 'browser'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'search_google' → plugin 'browser'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'search_youtube' → plugin 'browser'
2026-05-02 18:18:52 | INFO     | plugin_loader      | plugin_loader: loaded plugin 'browser' from 'browser_plugin.py' (5 action(s))
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_date' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_time' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_datetime' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_uptime' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_disk_usage' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_memory_usage' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'show_ip_address' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'volume_up' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'volume_down' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'volume_mute' → plugin 'system_utils'
2026-05-02 18:18:52 | DEBUG    | plugin_loader      | plugin_loader: registered 'take_screenshot' → plugin 'system_utils'
